source_id,title,authors,year,source_type,venue,doi,arxiv_id,official_url,repo_url,version_or_commit,accessed_on,scope,primary_claims,limitations,evidence_status,notes
SW-01,"DeepH-pack: a general-purpose neural network package for deep-learning electronic structure calculations","Yang Li; Yanzhen Wang; Boheng Zhao; Xiaoxun Gong; Yuxiang Wang; Zechen Tang; Zixu Wang; Zilong Yuan; Jialin Li; Minghui Sun; Zezhou Chen; Honggeng Tao; Baochun Wu; Yuhang Yu; He Li; Felipe H. da Jornada; Wenhui Duan; Yong Xu",2026,peer_reviewed_software_article,"npj Computational Materials",10.1038/s41524-026-02219-2,2601.02938,https://doi.org/10.1038/s41524-026-02219-2,,"deepx-pack 1.0.6.post3 metadata",2026-08-03,"modern DeepH-pack","JAX/Flax unified package and modern DeepH data workflow","official page requires software application; public source repository not identified",PRIMARY_EXPLICIT,"do not mix with mzjb/DeepH-pack"
SW-02,"DeepH-dock","DeepH team",2026,official_repository,"GitHub and official documentation",,,https://docs.deeph-pack.com/deeph-dock/en/latest/,https://github.com/kYangLi/DeepH-dock,"repository main not pinned",2026-08-03,"DFT interfaces standardized data and post-processing","converts DFT outputs to modern DeepH format and provides matrix post-processing","interface support is version-specific",PRIMARY_EXPLICIT,"GPL-3.0"
CMP-01,"Unifying machine learning and quantum chemistry with a deep neural network for molecular wavefunctions","K. T. Schuett; M. Gastegger; A. Tkatchenko; K.-R. Mueller; R. J. Maurer",2019,peer_reviewed_article,"Nature Communications 10 5024",10.1038/s41467-019-12875-2,1906.10033,https://doi.org/10.1038/s41467-019-12875-2,https://github.com/atomistic-machine-learning/SchNOrb,"repository not pinned",2026-08-03,"SchNOrb comparator","molecular AO Hamiltonian overlap and wavefunction prediction","molecular tasks and rotation augmentation rather than strict periodic equivariance",PRIMARY_EXPLICIT,
CMP-02,"Efficient and Equivariant Graph Networks for Predicting Quantum Hamiltonian","Haiyang Yu; Zhao Xu; Xiaofeng Qian; Xiaoning Qian; Shuiwang Ji",2023,peer_reviewed_conference,"ICML 2023 PMLR 202",,2306.04922,https://proceedings.mlr.press/v202/yu23i.html,https://github.com/divelab/AIRS,"repository not pinned",2026-08-03,"QHNet comparator","SE(3)-equivariant quantum Hamiltonian prediction with reduced tensor products","original evaluation mainly molecular benchmarks",PRIMARY_EXPLICIT,
CMP-03,"Transferable equivariant graph neural networks for the Hamiltonians of molecules and solids","Yang Zhong; Hongyu Yu; Mao Su; Xingao Gong; Hongjun Xiang",2023,peer_reviewed_article,"npj Computational Materials 9 182",10.1038/s41524-023-01130-4,2210.16190,https://doi.org/10.1038/s41524-023-01130-4,https://github.com/QuantumLab-ZY/HamGNN,"repository not pinned",2026-08-03,"HamGNN comparator","E(3)-equivariant parameterized Hamiltonians for molecules and solids including SOC extension","comparison requires matched labels basis and splits",PRIMARY_EXPLICIT,"data and weights on Zenodo"
CMP-04,"Deep learning tight-binding approach for large-scale electronic simulations at finite temperatures with ab initio accuracy","Qiangqiang Gu; Zhanghao Zhouyin; Shishir Kumar Pandey; Peng Zhang; Linfeng Zhang; Weinan E",2024,peer_reviewed_article,"Nature Communications 15 6772",10.1038/s41467-024-51006-4,2307.04638,https://doi.org/10.1038/s41467-024-51006-4,https://github.com/deepmodeling/DeePTB,"repository not pinned",2026-08-03,"DeePTB comparator","learns simplified localized tight-binding Hamiltonians from eigenvalue labels","not element-wise reproduction of a fixed AO Kohn-Sham Hamiltonian",PRIMARY_EXPLICIT,
CMP-05,"A universal spin-orbit-coupled Hamiltonian model for accelerated quantum material discovery","Yang Zhong; Rui Wang; Xingao Gong; Hongjun Xiang",2026,peer_reviewed_article,"Nature Machine Intelligence 8 403-414",10.1038/s42256-026-01196-x,,https://doi.org/10.1038/s42256-026-01196-x,,,2026-08-03,"Uni-HamGNN comparator","universal SOC Hamiltonian through spin-independent and SOC correction decomposition","code repository not located; full methodological audit may require access",PRIMARY_EXPLICIT,"weights and structures DOI 10.5281/zenodo.17239078"
FND-01,"Electronic Structure: Basic Theory and Practical Methods","Richard M. Martin",2004,textbook,"Cambridge University Press",,,https://assets.cambridge.org/97805217/82852/toc/9780521782852_toc.pdf,,"ISBN 978-0-521-78285-2",2026-08-03,"electronic-structure foundation","electron-nuclear and many-electron foundations; Born-Oppenheimer and independent-electron approximations; Hartree-Fock; periodic solids; Kohn-Sham equations and SCF; pseudopotentials plane waves and localized orbitals; non-orthogonality","fixed chapter ranges support foundational textbook context but not DeepH-specific software claims; the local publisher table-of-contents snapshot verifies edition and chapter/page location only and does not substitute for formula-level evidence",PRIMARY_EXPLICIT,"relevant chapters 3 pp.52-70; 4 pp.73-99; 5 pp.100-116; 6 pp.119-133; 7 pp.135-149; 8 pp.152-170; 9 pp.172-184; 11 pp.204-229; 12 pp.236-251; 13 pp.254-270; 14 pp.272-294; 15 pp.298-311"
FND-02,"Matrix Computations","Gene H. Golub; Charles F. Van Loan",2013,textbook,"Johns Hopkins University Press fourth edition",,,https://www.press.jhu.edu/books/title/10678/matrix-computations,,"ISBN 978-1-4214-0794-4",2026-08-03,"numerical linear algebra foundation","symmetric eigenvalue problems and generalized eigenvalue problems with symmetry","section title and page range support problem class and algorithms; complex Hermitian notation is supplemented by FND-03",PRIMARY_EXPLICIT,"section 8.7 pp.497-512"
FND-03,"Generalized Hermitian Eigenvalue Problems","Ming Gu; Axel Ruhe; Gerard Sleijpen; Henk van der Vorst; Zhaojun Bai; Ren-Cang Li",2000,handbook_chapter,"Templates for the Solution of Algebraic Eigenvalue Problems: A Practical Guide",10.1137/1.9780898719581.ch5,,https://doi.org/10.1137/1.9780898719581.ch5,,,2026-08-03,"generalized Hermitian eigenproblem foundation","Ax=lambda Bx with Hermitian A and B and a definite matrix pencil; numerical methods","does not by itself establish DeepH label conventions or the chapter's first-order formula",PRIMARY_EXPLICIT,"chapter 5 pp.109-133"
FND-04,"Applications","Nicholas J. Higham",2008,book_chapter,"Functions of Matrices: Theory and Computation",10.1137/1.9780898717778.ch2,,https://doi.org/10.1137/1.9780898717778.ch2,,,2026-08-03,"orthogonalization foundation","Hermitian definite generalized eigenproblem reduction by B^(-1/2); practical reduction by Cholesky factorization","supports the reduction and its conditions but not DeepH-specific conventions or the generalized first-order perturbation formula",PRIMARY_EXPLICIT,"chapter 2 pp.35-53; symmetric-orthogonalization and Cholesky reductions displayed on p.35"
FND-05,"First-Order Perturbation Theory for Eigenvalues and Eigenvectors","Anne Greenbaum; Ren-Cang Li; Michael L. Overton",2020,peer_reviewed_article,"SIAM Review 62 463-482",10.1137/19M124784X,,https://doi.org/10.1137/19M124784X,,,2026-08-03,"eigenvalue perturbation foundation","for a simple eigenvalue of a differentiable matrix family lambda'=y^* A' x under y^*x=1 normalization","the DeepH chapter's H/S formula is a direct derivation after differentiating Hc=ESc and requires a simple eigenvalue differentiable Hermitian H/S S positive definite and S-normalization",PRIMARY_EXPLICIT,"Theorem 1 on p.465; full article pp.463-482"
FND-06,"Quantum Physics I lecture notes 6, 8, and 9","Barton Zwiebach",2016,course_lecture_notes,"MIT OpenCourseWare 8.04 Spring 2016",,,https://ocw.mit.edu/courses/8-04-quantum-physics-i-spring-2016/pages/lecture-notes/,,"Spring 2016 fixed lecture PDFs",2026-08-03,"introductory quantum mechanics foundation","normalization and state-scale equivalence; linear and Hermitian operators; inner products; expectation values; real eigenvalues and orthonormal eigenstates","introductory wavefunction presentation; rigorous unbounded-operator domain theory and abstract ray formalism are outside the cited scope",PRIMARY_EXPLICIT,"Lecture 6 pp.1-4; Lecture 8 pp.4-5; Lecture 9 pp.1-4; local PDF hashes in 01_sources/README.md"
C-FND-02,"Inhomogeneous Electron Gas","Pierre Hohenberg; Walter Kohn",1964,peer_reviewed_article,"Physical Review 136 B864-B871",10.1103/PhysRev.136.B864,,https://doi.org/10.1103/PhysRev.136.B864,,,2026-08-03,"ground-state density-functional foundation","external-potential interacting-electron ground state as a density functional and ground-state variational principle","does not supply a computable exact functional or Kohn-Sham orbital construction; constrained-search formalization requires later sources",PRIMARY_EXPLICIT,
C-FND-03,"Self-Consistent Equations Including Exchange and Correlation Effects","Walter Kohn; Lu Jeu Sham",1965,peer_reviewed_article,"Physical Review 140 A1133-A1138",10.1103/PhysRev.140.A1133,,https://doi.org/10.1103/PhysRev.140.A1133,,,2026-08-03,"Kohn-Sham density-functional foundation","noninteracting reference system and self-consistent single-particle equations including exchange and correlation","Kohn-Sham eigenvalues are not universally identical to all many-body excitation energies",PRIMARY_EXPLICIT,
C-FND-04,"Thermal Properties of the Inhomogeneous Electron Gas","N. David Mermin",1965,peer_reviewed_article,"Physical Review 137 A1441-A1443",10.1103/PhysRev.137.A1441,,https://doi.org/10.1103/PhysRev.137.A1441,,,2026-08-03,"finite-temperature density-functional foundation","finite-temperature grand-canonical density-functional variational framework at fixed temperature and chemical potential","numerical smearing is not automatically the target physical temperature and reported energy functional must be identified",PRIMARY_EXPLICIT,
C-FND-05,"Universal variational functionals of electron densities first-order density matrices and natural spin-orbitals and solution of the v-representability problem","Mel Levy",1979,peer_reviewed_article,"Proceedings of the National Academy of Sciences 76 6062-6065",10.1073/pnas.76.12.6062,,https://doi.org/10.1073/pnas.76.12.6062,,,2026-08-03,"Levy constrained-search foundation","pure-state constrained search over antisymmetric wavefunctions yielding a fixed N-representable density","not a line-by-line algebraic consequence of HK 1964; does not by itself establish every ensemble convex-analytic or lower-semicontinuous extension",PRIMARY_EXPLICIT,"PMID 16592733; PMCID PMC411802"
C-FND-06,"Density functionals for Coulomb systems","Elliott H. Lieb",1983,peer_reviewed_article,"International Journal of Quantum Chemistry 24 243-277",10.1002/qua.560240302,,https://doi.org/10.1002/qua.560240302,,,2026-08-03,"density-functional mathematical foundation","function-space variational and convex framework for Coulomb-system density functionals and representability limitations","density domain topology pure-state versus ensemble scope and minimum versus infimum must be stated for each use",PRIMARY_EXPLICIT,
C-FND-07,"Degenerate ground states and nonunique potentials: Breakdown and restoration of density functionals","Klaus Capelle; Carsten A. Ullrich; Giovanni Vignale",2007,peer_reviewed_article,"Physical Review A 76 012508",10.1103/PhysRevA.76.012508,,https://doi.org/10.1103/PhysRevA.76.012508,,,2026-08-04,"degenerate density-potential mapping boundary","common-ground-state and degeneracy issues plus nonuniqueness boundaries in density-functional formulations with more than one basic density","does not authorize transferring scalar-density uniqueness without qualification to spin current or other multidensity theories",PRIMARY_EXPLICIT,"pp.012508-1--5; open manuscript arXiv cond-mat/0610322"
C-NUM-01,"Computing the Self-Consistent Field in Kohn-Sham Density Functional Theory","Nicholas D. Woods; Matthew C. Payne; P. J. Hasnip",2019,peer_reviewed_article,"Journal of Physics Condensed Matter 31 453001",10.1088/1361-648X/ab31c0,,https://doi.org/10.1088/1361-648X/ab31c0,,,2026-08-03,"SCF numerical foundation","SCF nonlinear fixed-point instability inefficiency mixing and algorithm-assessment framework","does not establish one mixing method as universally optimal",PRIMARY_EXPLICIT,
C-NUM-02,"Iterative minimization techniques for ab initio total-energy calculations molecular dynamics and conjugate gradients","M. C. Payne; M. P. Teter; D. C. Allan; T. A. Arias; J. D. Joannopoulos",1992,peer_reviewed_article,"Reviews of Modern Physics 64 1045-1097",10.1103/RevModPhys.64.1045,,https://doi.org/10.1103/RevModPhys.64.1045,,,2026-08-03,"plane-wave pseudopotential numerical foundation","plane-wave pseudopotential total-energy methods iterative solution and numerical cost","historical algorithms do not define the defaults of a modern backend",PRIMARY_EXPLICIT,
C-NUM-03,"Norm-Conserving Pseudopotentials","D. R. Hamann; M. Schlueter; C. Chiang",1979,peer_reviewed_article,"Physical Review Letters 43 1494-1497",10.1103/PhysRevLett.43.1494,,https://doi.org/10.1103/PhysRevLett.43.1494,,,2026-08-03,"norm-conserving pseudopotential foundation","norm-conserving conditions logarithmic-derivative matching and transferability context","does not cover all ultrasoft PAW types or certify any element-specific dataset",PRIMARY_EXPLICIT,
C-LOC-01,"Nearsightedness of Electronic Matter","Emil Prodan; Walter Kohn",2005,peer_reviewed_article,"Proceedings of the National Academy of Sciences 102 11635-11638",10.1073/pnas.0505436102,,https://doi.org/10.1073/pnas.0505436102,,,2026-08-03,"electronic nearsightedness foundation","local electronic response to distant external-potential changes with condition-dependent range","does not imply uniform exponential decay for every matrix object metal temperature dimension or long-range interaction",PRIMARY_EXPLICIT,
FND-07,"Section XII The Born-Oppenheimer Approximation","Troy Van Voorhis",2005,course_lecture_notes,"MIT OpenCourseWare 5.73 Introductory Quantum Mechanics I",,,https://ocw.mit.edu/courses/5-73-introductory-quantum-mechanics-i-fall-2005/bf19f723f60f6baeba12abcb6b97f6f5_sec12.pdf,,"Fall 2005 fixed lecture PDF",2026-08-03,"Born-Oppenheimer and fixed-nuclei foundation","full electron-nuclear Hamiltonian fixed-nuclei electronic equation derivative couplings and near-degeneracy failure mechanism","molecular notation gives a mechanism and conditions but not a universal quantitative error bound for every material or excited state",PRIMARY_EXPLICIT,"section XII pp.1-8; official MIT OCW"
FND-08,"Lecture 3 Hartree Theory Slater Determinant and Hartree-Fock Theory","Rick Rajter",2004,course_lecture_notes,"MIT OpenCourseWare 10.675J Computational Quantum Mechanics of Molecular and Extended Systems",,,https://ocw.mit.edu/courses/10-675j-computational-quantum-mechanics-of-molecular-and-extended-systems-fall-2004/f2fc0576a08324375b77f6d47388bf2a_Lec3.pdf,,"Fall 2004 fixed lecture PDF",2026-08-03,"many-electron mean-field foundation","Hartree self-consistency Slater determinant Coulomb and exchange terms and Fock operator","brief pedagogical notes do not supply a complete functional-analytic or basis-set-limit proof and notation is normalized in the textbook derivation",PRIMARY_EXPLICIT,"lecture 3 pp.1-3; course instructor Bernhardt Trout; official MIT OCW"
D-FND-01,"Deep Learning Chapter 5 Machine Learning Basics","Ian Goodfellow; Yoshua Bengio; Aaron Courville",2016,official_textbook_chapter,"MIT Press author-hosted book",,,https://www.deeplearningbook.org/contents/ml.html,,"official HTML snapshot accessed 2026-08-04",2026-08-04,"supervised learning generalization and data splitting","supervised regression training validation test roles generalization regularization and evaluation basics","does not prescribe structure-group splitting for correlated atomistic trajectories or provide a graph-specific leakage theorem",PRIMARY_EXPLICIT,"local snapshot SHA-256 68FC979F3D654EEE97117BF3754BA3462D3E66FD2A9B31CCADC5F70422BC0968"
D-FND-02,"Deep Learning Chapter 8 Optimization for Training Deep Models","Ian Goodfellow; Yoshua Bengio; Aaron Courville",2016,official_textbook_chapter,"MIT Press author-hosted book",,,https://www.deeplearningbook.org/contents/optimization.html,,"official HTML snapshot accessed 2026-08-04",2026-08-04,"gradient-based training foundation","optimization objective minibatch stochastic gradients conditioning and training diagnostics","does not make training-loss decrease sufficient evidence of generalization correctness or physical validity",PRIMARY_EXPLICIT,"local snapshot SHA-256 95F2810D0AB10E3934AD7DD858E816572B6A30893E7FCA19163B211F6DFE91A1"
D-GNN-01,"Neural Message Passing for Quantum Chemistry","Justin Gilmer; Samuel S. Schoenholz; Patrick F. Riley; Oriol Vinyals; George E. Dahl",2017,peer_reviewed_conference_paper,"Proceedings of Machine Learning Research 70 1263-1272",,1609.02907,https://proceedings.mlr.press/v70/gilmer17a.html,,PMLR_v70,2026-08-04,"ordinary message-passing neural networks","common message update and readout framework for graph-based chemical prediction","molecular graph-level benchmarks do not by themselves define periodic-image edges Hamiltonian edge outputs or rotation-equivariant orbital blocks",PRIMARY_EXPLICIT,"local PDF SHA-256 292E7AD701D545DADDDA470AC02C2D076F1B23D85D95589F31E6EE9EB6A9FDD8"
D-GNN-02,"Deep Sets","Manzil Zaheer; Satwik Kottur; Siamak Ravanbakhsh; Barnabas Poczos; Ruslan Salakhutdinov; Alexander J. Smola",2017,peer_reviewed_conference_paper,"Advances in Neural Information Processing Systems 30",,,https://proceedings.neurips.cc/paper/2017/hash/f22e4747da1aa27e363d86d40ff442fe-Abstract.html,,NeurIPS_2017,2026-08-04,"permutation-invariant set aggregation","sum-decomposition framework and conditions for permutation-invariant set functions","the theorem conditions and representation scope must not be overextended to arbitrary continuous infinite sets or to rotation equivariance",PRIMARY_EXPLICIT,"local PDF SHA-256 AE1E9A4655B8ADA5292B3DD3558DD7E18B05913106EBC36BF9F609C917F163C0"
D-PBC-01,"Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties","Tian Xie; Jeffrey C. Grossman",2018,peer_reviewed_article,"Physical Review Letters 120 145301",10.1103/PhysRevLett.120.145301,1710.10324,https://doi.org/10.1103/PhysRevLett.120.145301,https://github.com/txie-93/cgcnn,"paper arXiv v3; repository not used",2026-08-04,"periodic crystal multigraph interface","crystal graphs include atoms and multiple bonds to neighboring atoms for periodic material property prediction","one architecture and dataset do not define a universal cutoff neighbor enumeration or Hamiltonian edge-output semantics",PRIMARY_EXPLICIT,"local arXiv PDF SHA-256 E9B5693D1A5B4DAA25F7BF61C8F97D5F55657669581A8208E2E8637B226D0970"
E-FND-01,"DLMF Section 14.30 Spherical and Spheroidal Harmonics","NIST Digital Library of Mathematical Functions",2026,official_reference,"NIST DLMF Chapter 14",,,https://dlmf.nist.gov/14.30,,,2026-08-09,"complex spherical-harmonic convention","normalized complex spherical harmonics including the Condon-Shortley phase and conjugation identities","does not by itself choose a real-orbital ordering or a software Wigner-D index convention",PRIMARY_EXPLICIT,"fixed HTML snapshot SHA-256 D4547C98B7DAA72A6358233A78646A49013D9110FDD817E8CAF139F3CBDA9154"
E-FND-02,"DLMF Sections 34.1 and 34.3 Three-J Symbols and Clebsch-Gordan Coefficients","NIST Digital Library of Mathematical Functions",2026,official_reference,"NIST DLMF Chapter 34",,,https://dlmf.nist.gov/34.1,,,2026-08-09,"angular-momentum coupling convention","relation between Clebsch-Gordan coefficients and Wigner 3j symbols plus symmetry and orthogonality properties","does not supply a neural-network implementation or remove the need to freeze index order and phase convention",PRIMARY_EXPLICIT,"section 34.1 HTML SHA-256 D18A8C7EC7C6021C68585B40084CE882B841D018920459B82CBDF1FC36C15211; section 34.3 HTML SHA-256 075E37CF5EF5656BAAABAAEF18C7F768FA66ED0F5FB84DFFF314FB0852BFD06A"
E-FND-03,"Quantum Theory I lecture notes 20 through 23","Andrew Turner; course instructor Senthil Todadri",2017,course_lecture_notes,"MIT OpenCourseWare 8.321 Fall 2017",,,https://ocw.mit.edu/courses/8-321-quantum-theory-i-fall-2017/pages/lecture-notes/,,"Fall 2017 fixed lecture PDFs",2026-08-09,"rotation groups angular-momentum addition parity and time reversal","SO(3) versus SU(2) angular momentum addition parity antiunitary time reversal and Kramers consequence","pedagogical notes do not define DeepH orbital order tensor-product code or the chosen real spherical basis",PRIMARY_EXPLICIT,"lecture 20 SHA-256 D7FE6547B80C9E1C1B5652AFA414AA82A0CA8E08148153536BFB5305C5016169; lecture 21 3984AC09661CBA332BF1D077DD547FCDE2A7A3B14CF33CB13EE68A06D6EFE72D; lecture 22 A5EBCEFC91FA09AB6D37812FA00678C7E59BD08FFD9E0CDD627D5361BFD9AF4D; lecture 23 5529C63E13970D58674DE2B942224821E2D3710F7603485A3777C8F50882D297"
E-GNN-01,"Tensor Field Networks: Rotation- and Translation-Equivariant Neural Networks for 3D Point Clouds","Nathaniel Thomas; Tess Smidt; Steven Kearnes; Lusann Yang; Li Li; Kai Kohlhoff; Patrick Riley",2018,preprint,"arXiv",,1802.08219,https://arxiv.org/abs/1802.08219,,,2026-08-09,"tensor-field equivariant networks","features organized by SO(3) representations and filters coupled through Clebsch-Gordan tensor products","point-cloud architecture does not establish Hamiltonian-block covariance periodic provenance or one universally optimal implementation",PRIMARY_EXPLICIT,"local arXiv PDF SHA-256 21E19CC0148B8337198E4FA802D846B9C30D45FBA3C6AD76AC97788DF0F92D74"
E-GNN-02,"e3nn: Euclidean Neural Networks","Mario Geiger; Tess Smidt",2022,preprint,"arXiv",,2207.09453,https://arxiv.org/abs/2207.09453,,,2026-08-09,"E(3)-equivariant neural-network framework","irreducible representations parity tensor products spherical harmonics and equivariant operations in a unified framework","paper concepts do not select an e3nn software release or certify compatibility with a DeepH implementation",PRIMARY_EXPLICIT,"local arXiv PDF SHA-256 C04B2DE728EB8C0D06405043EE4FB0EEA666AC6C9615A396F1579A35D4BCEEDC"
E-SUP-01,"Lecture 10: Superconductors With Disorder","Mark Spencer Rudner; course instructor Patrick Lee",2009,course_lecture_notes,"MIT OpenCourseWare 8.512 Theory of Solids II Spring 2009",,,https://ocw.mit.edu/courses/8-512-theory-of-solids-ii-spring-2009/7c18b5b0b6b1036d334ec864be5dac12_MIT8_512s09_lec10_rev.pdf,,"Spring 2009 fixed lecture PDF",2026-08-09,"supplemental archive only","lecture 10 includes a time-reversal-symmetry subsection in a superconductivity-with-disorder discussion","not used in the M7 direct evidence chain; E-FND-03 remains the foundational time-reversal source",SUPPLEMENTAL_ARCHIVE,"local PDF SHA-256 426E41E4ED6BCC48DF8256572F7D969DD47024E75DC0DAB96F0B04C0C0B70BFA; lecture notes 1-10 provided courtesy of Mark Spencer Rudner"
